OID_,ORIG_FID,ORIG_SEQ,ORIG_FID_1,ORIG_SEQ_1,length_km,Barrier_DNSTR,Shape_Length
113,1,105,105,1,2.681839091227318,TU_DIV_NE-01,3606.756331574846172
114,1,106,106,1,4.105642644742381,TU_CUL_FH-01,5524.693892250081262
115,1,107,107,1,6.192440113921564,TU_CUL_NE-01,8337.541491560159557
116,1,108,108,1,3.175920692602199,,4271.623483803475210
117,1,109,109,1,0.000000000000000,,9360.810134924471640
118,1,110,110,1,1.006071597933088,ID427,1353.375878376597711
119,1,110,110,3,1.416721107436018,TU_DIV_NE-01,1906.633850633210614
120,1,110,110,2,0.830994123023224,ID435,1119.236166906144035
121,1,111,111,1,2.405810676013854,TU_DIV_NE-01,3238.591558890815577
122,1,112,112,1,2.263081220620491,TU_DIV_NE-01,3048.256219162527486
123,1,113,113,1,2.643791974862895,TU_CUL_FH-01,3554.516027727103847
124,1,114,114,1,0.000000000000000,,2428.837608631521107
125,1,115,115,1,1.885095291761947,TU_CUL_FH-01,2537.113722845474513
126,1,116,116,1,6.469835619443385,TU_DIV_NE-01,8711.510309650604540
127,1,117,117,1,4.094211354609683,,5509.831377227106714
128,1,118,118,1,0.000000000000000,,7549.586106383611877
129,1,119,119,1,1.857533792156313,TU_CUL_FH-01,2500.293521295182018
130,1,119,119,2,0.131443867821003,,177.175653727088616
131,1,120,120,1,0.000000000000000,,12345.818416836144024
132,1,121,121,1,5.057278945593636,TU_CUL_FH-01,6809.348328636982842
133,1,122,122,1,1.593776717836928,TU_CUL_FH-01,2143.610914697009775
134,1,123,123,1,2.890209748364427,TU_DIV_NE-01,3897.279031846931957
135,1,124,124,1,4.464642345940708,TU_DIV_NE-01,6015.733413450644548
136,1,125,125,1,3.699657938233736,,4977.322572877573293
137,1,126,126,1,0.000000000000000,,8397.377722357829043
138,1,127,127,1,0.000000000000000,,5805.292295642158933
139,1,128,128,1,2.603374040079772,TU_CUL_FH-01,3503.464961467914236
140,1,129,129,1,3.102522492419245,,4178.942713519797508
141,1,130,130,1,2.362729431863199,TU_CUL_FH-01,3181.217127741617333
142,1,131,131,1,0.709588250061893,TU_CUL_FH-01,955.446282830310906
143,1,132,132,1,5.097547109656543,TU_CUL_FH-01,6863.062875041447114
144,1,133,133,1,2.073873977147671,,2789.669465633210621
145,1,134,134,1,0.000000000000000,,2114.285484215125052
146,1,135,135,1,2.047567452481414,,2754.901312619225791
